city,segment,sales,sales,sales,sales,sales,profit,profit,profit,profit,profit
,,mean,sum,max,min,count,mean,sum,max,min,count
Aberdeen,Consumer,25.5,25.5,25.5,25.5,1,6.63,6.63,6.63,6.63,1
Abilene,Consumer,1.392,1.392,1.392,1.392,1,-3.7584,-3.7584,-3.7584,-3.7584,1
Akron,Consumer,68.09138461538461,885.188,323.982,2.286,13,-11.6102,-150.9326,6.795,-80.9955,13
Akron,Corporate,303.6453333333333,1821.872,665.408,85.056,6,-6.223099999999999,-37.33859999999999,66.5408,-75.8304,6
Akron,Home Office,11.463000000000001,22.926000000000002,17.184,5.742,2,0.8177999999999996,1.6355999999999993,6.2292,-4.5936,2
Albuquerque,Consumer,44.949,179.796,118.25,4.28,4,9.628449999999999,38.513799999999996,34.2925,-5.6943,4
Albuquerque,Corporate,239.4755,957.902,595.0,27.18,4,62.48925,249.957,112.574,12.231,4
Albuquerque,Home Office,180.41033333333334,1082.462,302.376,45.36,6,57.602883333333324,345.61729999999994,138.3552,21.7728,6
Alexandria,Consumer,43.60666666666666,130.82,81.2,24.56,3,10.528933333333333,31.586799999999997,12.53,6.8768,3
Alexandria,Corporate,740.69,4444.14,4164.05,12.96,6,30.245483333333336,181.4729,83.281,6.3504,6
Alexandria,Home Office,134.9442857142857,944.61,489.92,12.42,7,15.0798,105.5586,52.6344,0.0,7
Allen,Consumer,72.5515,290.206,244.006,8.784,4,-9.969375,-39.8775,5.3784,-31.3722,4
Allentown,Consumer,7.904,15.808,11.648,4.16,2,1.8564,3.7128,3.3488,0.364,2
Allentown,Home Office,167.4888,837.444,663.072,3.488,5,-46.03264,-230.1632,15.49,-165.768,5
Altoona,Corporate,10.2255,20.451,16.032,4.419,2,-0.59175,-1.1835,2.2044,-3.3879,2
Amarillo,Consumer,443.51025,3548.082,2453.43,23.076,8,-44.7955375,-358.3643,42.8805,-350.49,8
Amarillo,Corporate,112.4904,224.9808,205.3328,19.648,2,-14.802,-29.604,6.6312,-36.2352,2
Anaheim,Consumer,216.551875,3464.83,998.82,3.36,16,25.212375,403.398,111.517,-31.843,16
Anaheim,Corporate,411.0945454545454,4522.04,1295.78,13.98,11,75.50959999999999,830.6056,310.9872,3.6348,11
Andover,Consumer,108.96249999999999,435.84999999999997,354.9,11.21,4,31.04715,124.1886,88.725,3.363,4
